,BUS_PROF_NAME,FULL_ADDRESS,LICENSES,LIC_STATUS,ISSUE_DATE,END_DATE,ADDRESS_ID,ADDRESS_LINE1,CITY,STATE,ZIP,COUNCIL_DIST,POLICE_DIST,CENSUS_TRACT,X_COORD,Y_COORD,GLOBALID,NEIGHBORHOOD,ZONE_DISTRICT,x,y,lon,lat
2353,COST PLUS WORLD MARKET,8601 W CROSS DR UNIT CP,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2/18/2026 9:47:22 AM,4/21/2027 12:00:00 AM,32733059.0,8601 W Cross Dr Unit CP,Denver,CO,0,2,4.0,12010.0,3114335.0,1649458.0,eddd4d1f-99c0-46b2-b072-4f2af3d9a76d,Marston,B-4,3114335.00013439,1649458.00009304,-105.09415231198841,39.615852329672485
2358,L&C LIQUORS,8100 W CRESTLINE AVE UNIT A-18,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,10/31/2025 10:58:22 AM,12/14/2026 12:00:00 AM,264317.0,8100 W Crestline Ave Unit A18,Denver,CO,80123,2,4.0,12010.0,3115317.0,1650209.0,8a09d97d-fbed-4d26-a721-a4200f27e2bc,Marston,B-4,3115317.00013889,1650208.99990338,-105.09065460424475,39.617901964282645
2370,MARTINI MARTINE LLC,8555 W BELLEVIEW AVE STE A03,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,6/16/2025 12:00:00 AM,6/16/2026 12:00:00 AM,270011.0,8555 W Belleview Ave Ste A03,Denver,CO,0,2,4.0,12014.0,3114424.0,1652660.0,5911c82c-d94b-450f-bdd7-9a39dd7fe1c1,Marston,B-2,3114423.9999564,1652659.99992263,-105.09378557731242,39.624641723427885
2380,BELLEVIEW WINE AND SPIRITS,7795 E BELLEVIEW 3,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2/24/2026 8:36:29 AM,2/12/2027 12:00:00 AM,32690148.0,7795 E Belleview Ave Unit 3,Denver,CO,0,4,3.0,6804.0,3169520.0,1652956.0,6710414d-cbc7-4a3a-9371-91cb04db16ef,Hampden South,B-8,3169520.0000004,1652955.9999868,-104.89818816756537,39.62461516392898
2386,VILLAGE WEST LIQUOR,8555 W BELLEVIEW AVE SUITE A03,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,6/3/2025 10:24:42 AM,5/20/2026 12:00:00 AM,155994.0,8555 W Belleview Ave,Denver,CO,0,2,4.0,12014.0,3114526.0,1653012.0,59297ab8-88d5-4193-ac3d-078aeed9e791,Marston,B-2,3114526.00008048,1653011.9998748,-105.09341788081355,39.6256068185597
2427,SAM'S CLUB #6635,4827 S WADSWORTH WAY ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,7/17/2025 1:49:17 PM,8/24/2026 12:00:00 AM,156218.0,4827 S Wadsworth Way,Denver,CO,80123,2,4.0,12014.0,3115995.0,1654447.0,e6e70728-31f7-407e-962b-b8c57e175be3,Marston,B-4,3115995.00009523,1654446.99995755,-105.0881797179527,39.62952816467763
2461,WEST QUINCY WINES AND SPIRITS,3704 - 3706 W QUINCY AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,7/14/2025 12:37:59 PM,9/6/2026 12:00:00 AM,172817.0,3706 W Quincy Ave,Denver,CO,0,2,4.0,5503.0,3130719.0,1657676.0,e19ef265-cbc5-4fdb-a977-d87528498910,Fort Logan,S-MX-2,3130718.99984665,1657676.00006121,-105.03584697802495,39.638197838221934
2464,GOLDSMITH DISCOUNT LIQUOR,8000 E QUINCY AVE SUITE 2100&2300,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2/26/2026 7:50:41 AM,3/29/2027 12:00:00 AM,221147.0,8000 E Quincy Ave,Denver,CO,0,4,3.0,6809.0,3169836.0,1657728.0,ecbbd726-663a-4c90-bb8c-9e1a10028e38,Hampden South,B-3,3169836.00002456,1657727.99995722,-104.89695391625459,39.6377098310637
2487,SOUTHMOOR WINE AND SPIRITS,3533 S MONACO PKWY ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2/24/2026 1:43:44 PM,3/6/2027 12:00:00 AM,250831.0,3533 S Monaco Street Pkwy,Denver,CO,0,4,3.0,6809.0,3165130.0,1662910.0,8d75450c-c599-41f6-805d-fc93920198d8,Hampden South,S-MX-5A,3165129.99992214,1662910.00009188,-104.91354452134684,39.65202033412261
2492,DENVER LIQUOR GALAXY,8970 E HAMPDEN AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,7/1/2025 7:47:11 PM,9/2/2026 12:00:00 AM,364872.0,8970 E Hampden Ave,Denver,CO,0,4,3.0,6810.0,3173822.0,1662963.0,ee020d76-3939-40c0-a092-ec9b33426631,Hampden South,S-MX-5A,3173821.99992657,1662962.99998589,-104.88267472640544,39.652007736997284
2503,"TWIN CREEKS QUAD SISTERS, INC",8970 E HAMPDEN AVE ,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,7/9/2025 12:00:00 AM,7/9/2026 12:00:00 AM,364872.0,8970 E Hampden Ave,Denver,CO,0,4,3.0,6810.0,3173822.0,1662963.0,dbecf47e-8bcb-4174-8ece-51b4542ad54a,Hampden South,S-MX-5A,3173821.99992657,1662962.99998589,-104.88267472640544,39.652007736997284
2546,DISTILLERY LIQUORS,7195 E HAMPDEN AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,12/3/2025 10:23:35 AM,2/27/2027 12:00:00 AM,145447.0,7195 E Hampden Ave,Denver,CO,80224,4,3.0,6812.0,3167536.0,1663473.0,838db3bf-a8bc-481f-9154-03447a10855b,Hampden,S-MX-3A,3167536.0000314,1663472.99995013,-104.90498681295283,39.65352295921418
2558,HAMPDEN LIQUOR,10017 E HAMPDEN AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,8/8/2025 9:42:27 AM,10/17/2026 12:00:00 AM,181902.0,10017 E Hampden Ave,Denver,CO,80231,4,3.0,6814.0,3177137.0,1663520.0,7dfbd828-c6df-4506-afd6-9ba39e04fe3c,Hampden,S-MX-3A,3177136.99985823,1663519.99985613,-104.87088824622049,39.65347440593094
2576,BEAR VALLEY WINE & SPIRITS,3100 S SHERIDAN BLVD UNIT E & F,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,4/1/2026 10:57:30 AM,6/23/2027 12:00:00 AM,175532.0,3100 S Sheridan Blvd,Denver,CO,0,2,4.0,4801.0,3125925.0,1663633.0,8f4e66f6-0a7c-45f8-927a-3e71203d92b7,Harvey Park South,S-CC-3X,3125924.99992023,1663632.99995822,-105.05276495608243,39.65461748760229
2601,ABC LIQUOR,5600 W DARTMOUTH 106,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,10/28/2025 11:07:33 AM,1/26/2027 12:00:00 AM,270082.0,5600 W Dartmouth Ave Unit 106,Denver,CO,80227,2,4.0,11902.0,3124905.0,1663927.0,4516e779-bfe3-4b80-9841-44306d4dbe83,Bear Valley,S-CC-3X,3124904.99999173,1663927.00002638,-105.05638242968179,39.65543832779557
2602,OLIO CORP,3100 S SHERIDAN BLVD # 6-F,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,3/2/2026 12:00:00 AM,3/2/2027 12:00:00 AM,177368.0,3100 S Sheridan Blvd Bldg 6 # F,Denver,CO,0,2,4.0,4801.0,3127140.0,1664107.0,25119aee-dd77-4b28-97ec-b713b8315880,Harvey Park South,B-3,3127140.00011489,1664106.99999447,-105.04844146622575,39.65590224677479
2621,TAMARAC LIQUORS,3333 S TAMARAC UNIT O,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,9/19/2025 10:27:41 AM,10/27/2026 12:00:00 AM,270164.0,3333 S Tamarac Dr Unit O,Denver,CO,80231,4,3.0,6811.0,3168712.0,1664509.0,ba0d895b-4153-43be-acbd-98f4b64dd3ee,Hampden,S-MX-5A,3168711.99997598,1664508.99984664,-104.90078603738833,39.65634581510367
2641,FAIRWAY LIQUORS,10890 E DARTMOUTH AVE UNIT 14,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,12/1/2025 8:59:51 AM,2/14/2027 12:00:00 AM,270060.0,10890 E Dartmouth Ave Unit 14,Denver,CO,0,4,3.0,7006.0,3180055.0,1665851.0,30d323be-d5f4-4e4c-90a7-12f46d958b87,Kennedy,B-3,3180054.99992773,1665851.00011538,-104.86046687010732,39.659817622543784
2654,FIRST LIQUORS,2960 S FEDERAL 6,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,1/21/2026 8:03:51 AM,4/14/2027 12:00:00 AM,361338.0,2960 S Federal Blvd Unit 6,Denver,CO,80236,2,4.0,5400.0,3133812.0,1666513.0,b9d58bf8-b424-4ca9-afde-ea378ac8db8f,College View - South Platte,PUD,3133811.99989423,1666513.00010371,-105.0247004799959,39.66241392183886
2669,WALGREEN CO,2870 S COLORADO BLVD ,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,1/9/2026 12:00:00 AM,1/9/2027 12:00:00 AM,181316.0,2870 S Colorado Blvd,Denver,CO,0,4,3.0,4003.0,3157646.0,1667382.0,17a6ac95-7037-4cb0-8d12-1ebea38828da,University Hills,S-MX-3,3157646.00012639,1667382.00000614,-104.94002519267181,39.66442672457739
2673,SIR FREDERICKS LIQUORS,2784 S WADSWORTH BLVD ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,1/7/2026 12:28:05 PM,2/14/2027 12:00:00 AM,182439.0,2784 S Wadsworth Blvd,Denver,CO,80227,2,4.0,11903.0,3118032.0,1667721.0,c0a6d1eb-ab52-4671-956e-af4fae9feabb,Bear Valley,B-2,3118031.99995823,1667720.99998429,-105.08073030511265,39.665943491866244
2679,E&S LIQUORS,6460 E YALE UNIT E30,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,12/28/2025 11:34:35 PM,12/21/2026 12:00:00 AM,270174.0,6460 E Yale Ave Unit E30,Denver,CO,0,4,3.0,6812.0,3164962.0,1668014.0,99bce2a2-e4c1-4b45-8437-e6013cebd053,Hampden,B-3,3164961.99993007,1668014.00005446,-104.91402423364002,39.66603504338454
2743,HARVEY PARK LIQUOR,2418 S FEDERAL BLVD ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,4/15/2025 2:13:51 PM,6/25/2026 12:00:00 AM,117902.0,2418 S Federal Blvd,Denver,CO,80219,2,4.0,5400.0,3133801.0,1670309.0,79dbfba9-07b1-46f9-8147-1af5d8736416,College View - South Platte,S-MX-3,3133800.99991623,1670309.00005764,-105.0246690033116,39.672835075324365
2760,LITTLES LIQUORS,2390 S DOWNING ST ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,5/24/2025 7:19:11 PM,7/24/2026 12:00:00 AM,,,,,80210,6,3.0,3004.0,3148285.0,1670546.0,07103502-fd7c-4ec5-9c0d-9ad47f7101bf,University,E-MS-2,3148285.00014764,1670545.99991171,-104.9732104886996,39.67326638915297
2770,LITTLES LIQUORS INC,2390 S DOWNING ST ,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,7/1/2025 12:00:00 AM,7/1/2026 12:00:00 AM,245640.0,2390 S Downing St,Denver,CO,80210,6,3.0,3004.0,3148285.0,1670546.0,fd5d7f73-25fb-4c44-9433-6d8c0be72e80,University,E-MS-2,3148285.00014764,1670545.99991171,-104.9732104886996,39.67326638915297
2797,K LIQUORS,2215 S SHERIDAN BLVD ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,1/23/2026 12:15:29 PM,1/12/2027 12:00:00 AM,59369.0,2215 S Sheridan Blvd,Denver,CO,80227,2,4.0,4700.0,3125571.0,1671099.0,42798950-a55b-4679-b823-5ad61ceff2cb,Harvey Park,S-CC-3X,3125570.99997206,1671099.00011805,-105.05389199242389,39.675118407367606
2800,REX LIQUOR,2294 S BROADWAY ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,3/7/2026 10:21:14 PM,4/4/2027 12:00:00 AM,261599.0,2294 S Broadway,Denver,CO,80210,7,3.0,3002.0,3144297.0,1671164.0,ee03af4b-4f1e-4853-9d51-b3330719e9fb,Rosedale,U-MS-3,3144296.99992156,1671163.99998805,-104.987365355491,39.67502558187594
2853,MONACO LIQUOR WINE AND SPIRITS,2243 S MONACO 111,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,11/26/2025 7:24:57 AM,2/8/2027 12:00:00 AM,460405.0,2243 S Monaco Street Pkwy Ste 111,Denver,CO,0,4,3.0,6901.0,3164791.0,1671794.0,db2a24ea-f22f-4f60-a873-283816f64ca8,Goldsmith,S-MX-5A,3164790.99994397,1671794.00004038,-104.9145451103815,39.67641505492358
2903,HOLLY HILLS PLAZA LIQUOR,2120 S HOLLY ST STE 1 & 2,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,9/24/2025 10:50:54 AM,8/26/2026 12:00:00 AM,360669.0,2120 S Holly St Ste 1,Denver,CO,0,4,3.0,6901.0,3162803.0,1672226.0,022f5f06-647a-4363-8685-491e605d19b6,Goldsmith,S-MX-3A,3162802.99998298,1672226.00016063,-104.9215979372964,39.677635953686874
2924,QUEEN LIQUOR,2426 W EVANS AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,5/1/2025 12:07:51 PM,5/14/2026 12:00:00 AM,116481.0,2426 W Evans Ave,Denver,CO,0,2,4.0,5400.0,3136069.0,1672361.0,68e17eb6-93ac-4829-a337-878314675627,College View - South Platte,S-CC-3,3136068.9999734,1672360.99989063,-105.01657324277723,39.67843547035954
2931,MORGAN'S LIQUOR,1200 E EVANS AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,3/12/2025 7:59:54 AM,6/25/2026 12:00:00 AM,261597.0,1200 E Evans Ave,Denver,CO,80210,6,3.0,3004.0,3148287.0,1672376.0,ea19538a-7e27-4fea-9967-5432b97c8ef0,University,U-MS-3,3148287.00014365,1672375.99986063,-104.97316568275197,39.67829014760517
2934,"FRESH BEGINNING, LLC",1200 E EVANS AVE ,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,11/25/2025 12:00:00 AM,11/25/2026 12:00:00 AM,261597.0,1200 E Evans Ave,Denver,CO,80210,6,3.0,3004.0,3148287.0,1672376.0,e589c4b3-bb56-4d05-a052-e5993804e152,University,U-MS-3,3148287.00014365,1672375.99986063,-104.97316568275197,39.67829014760517
2968,TOTAL WINE SPIRITS BEER & MORE,3905 E EVANS AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,10/30/2025 11:41:57 AM,11/18/2026 12:00:00 AM,240276.0,3905 E Evans Ave,Denver,CO,80210,6,3.0,4005.0,3156974.0,1672569.0,7981f1aa-457d-4fb5-bb1a-a0cd7b694d5b,University Park,R-MU-30,3156974.00015806,1672569.0001308,-104.94229903826417,39.6786776275326
2975,H&N ENTERPRISE INC,3905 E EVANS AVE ,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,5/14/2025 12:00:00 AM,5/14/2026 12:00:00 AM,240276.0,3905 E Evans Ave,Denver,CO,80210,6,3.0,4005.0,3156974.0,1672569.0,8521cf98-2cf1-4ccb-86c4-31a32758a51f,University Park,R-MU-30,3156974.00015806,1672569.0001308,-104.94229903826417,39.6786776275326
2977,PATIO LIQUOR,1971 W EVANS AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,9/16/2025 11:52:09 AM,7/14/2026 12:00:00 AM,533640.0,1971 W Evans Ave,Denver,CO,0,2,4.0,5400.0,3137702.0,1672572.0,24c7a9cd-dd46-4f0f-ab12-268f1cceb049,College View - South Platte,S-CC-3,3137701.99998823,1672572.0001248,-105.01076758506171,39.67899071852446
3020,SOBO LIQUOR,2035 S BROADWAY UNIT B,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,12/9/2025 9:49:55 AM,1/14/2027 12:00:00 AM,264297.0,2035 S Broadway Unit B,Denver,CO,80210,7,3.0,1403.0,3144121.0,1672863.0,00f80186-62c0-46c6-9382-a5d2f3169520,Overland,C-MS-5,3144120.99994548,1672862.99987088,-104.98795658562187,39.679692472026986
3049,MOUSA WINE & SPIRITS,1957 S FEDERAL BLVD ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,12/18/2025 9:22:38 AM,2/20/2027 12:00:00 AM,,,,,80219,2,4.0,4603.0,3133493.0,1673294.0,bd75a29f-acbe-43a2-aed7-89002bec2cf5,Harvey Park,S-CC-3X,3133492.99987607,1673293.99999313,-105.02570779777108,39.681034060384135
3071,E & E LIQUOR,1950 S HOLLY ST SUITE 1,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,9/17/2025 11:25:51 PM,11/26/2026 12:00:00 AM,360457.0,1950 S Holly St Unit 1,Denver,CO,0,6,3.0,5200.0,3162773.0,1673627.0,b55467d8-6881-4f96-9063-e60e3d0230ab,Virginia Village,S-MX-3A,3162773.00004297,1673626.9999833,-104.92167283147181,39.68148254136476
3082,ALL-V LIQUORS,1840 S SHERIDAN BLVD ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,7/9/2025 2:04:01 PM,7/12/2026 12:00:00 AM,250458.0,1840 S Sheridan Blvd,Denver,CO,80232,2,4.0,4601.0,3125928.0,1673819.0,c99e2655-ee51-43a3-8661-e29cdd04f19c,Mar Lee,B-2,3125927.99991423,1673818.99992739,-105.05257613082281,39.68258066896515
3176,TRIPLE 7 LIQUOR,1685 S COLORADO BLVD UNIT B,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,12/21/2025 6:44:16 PM,1/18/2027 12:00:00 AM,109437.0,1685 S Colorado Blvd # B,Denver,CO,0,6,3.0,3902.0,3157048.0,1675321.0,e0b18ada-84f6-4140-8e56-8f1fca6590ce,Cory - Merrill,PUD,3157048.00001006,1675320.99987613,-104.9419760796087,39.68623124866819
3201,CUT RATE LIQUOR,1537 S FEDERAL BLVD ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2/19/2026 1:01:47 PM,5/16/2027 12:00:00 AM,227172.0,1537 S Federal Blvd,Denver,CO,0,2,4.0,4602.0,3133465.0,1676046.0,001057aa-03b8-4d5a-a238-8dcdf07f9b26,Mar Lee,S-CC-3X,3133464.99993207,1676046.00006655,-105.02575623612191,39.68858936444833
3220,V'S LIQUOR,1550 S FEDERAL BLVD SUITE R & S,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,8/11/2025 1:50:36 PM,1/6/2027 12:00:00 AM,270107.0,1550 S Federal Blvd Unit R,Denver,CO,0,7,4.0,1402.0,3133874.0,1676137.0,da28e792-c0e3-4342-ad3b-67874bfb510f,Ruby Hill,E-MX-3,3133874.00009832,1676136.99988455,-105.02430126129916,39.68883331010716
3246,AB & P LIQUORS,1472 S BROADWAY ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,11/7/2024 2:20:35 PM,10/12/2026 12:00:00 AM,261702.0,1472 S Broadway,Denver,CO,0,7,3.0,3001.0,3144280.0,1676551.0,142503d6-aaa8-421e-a7dc-08e26104b3d6,Platt Park,U-MS-3,3144279.99995556,1676551.0000408,-104.98731774626624,39.68981443576974
3268,MARLEE WINE & SPIRITS,4317 W FLORIDA AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,1/27/2026 6:44:58 AM,1/29/2027 12:00:00 AM,164903.0,4317 W Florida Ave,Denver,CO,0,3,4.0,4601.0,3128614.0,1676774.0,f1b98596-049e-4f10-8e4f-59d15c1f6550,Mar Lee,PUD,3128614.00011964,1676773.99992289,-105.04298007784031,39.69065615448696
3272,VIRGINIA VILLAGE LIQUORS,1455 S HOLLY ST ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,1/13/2026 9:34:58 AM,2/8/2027 12:00:00 AM,,,,,80222,6,3.0,5102.0,3162305.0,1676804.0,535412da-b6c4-449f-ace9-bdc57a92db3d,Virginia Village,S-MX-2A,3162304.99999472,1676803.99986288,-104.92326391634086,39.69021227803528
3275,TOM & JERRY'S LIQUOR STORE,1410 S SHERIDAN BLVD 3,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,8/22/2025 8:30:47 PM,10/14/2026 12:00:00 AM,182855.0,1410 S Sheridan Blvd # 3,Denver,CO,0,3,4.0,4601.0,3125850.0,1676857.0,ab0fd638-e446-49fa-8daa-9ec9b45458f9,Mar Lee,B-2,3125850.00007023,1676857.00008497,-105.05280012643155,39.69092177204467
3324,DIVINO,1240 S BROADWAY ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,10/31/2025 7:12:53 AM,1/22/2027 12:00:00 AM,173939.0,1240 S Broadway,Denver,CO,0,7,3.0,3001.0,3144341.0,1678036.0,d55feab7-a1f3-4c97-92e1-9f8acc1beacd,Platt Park,U-MS-3,3144341.00016165,1678036.00002354,-104.98707120072193,39.69389015348579
3334,"DIVINO, LLC",1240 S BROADWAY ,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,1/12/2026 12:00:00 AM,1/12/2027 12:00:00 AM,173939.0,1240 S Broadway,Denver,CO,0,7,3.0,3001.0,3144341.0,1678036.0,af8b0f85-1935-48bd-861c-5b4902ccff1d,Platt Park,U-MS-3,3144341.00016165,1678036.00002354,-104.98707120072193,39.69389015348579
3365,CAMPUS LIQUOR,1100 S LOGAN ST ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,9/16/2025 9:35:53 PM,8/22/2026 12:00:00 AM,246561.0,1100 S Logan St,Denver,CO,0,7,3.0,3001.0,3145611.0,1678913.0,fbedf32e-9a15-4d12-874f-ffe2d462304e,Platt Park,U-MS-3,3145610.99991822,1678912.99990997,-104.98254048754663,39.6962779427329
3366,QUEBEC DISCOUNT LIQUOR,1050 S QUEBEC ST ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,7/1/2025 8:19:42 PM,8/22/2026 12:00:00 AM,,,,,80231,5,3.0,5002.0,3167958.0,1678919.0,61a89982-3b49-4dbd-98ce-be470054e7d7,Washington Virginia Vale,S-MX-2A,3167957.99984357,1678918.99989797,-104.90312768594437,39.695918162077916
3381,PEARL WINE AND SPIRITS,1093 S PEARL ST ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,1/12/2026 1:44:57 PM,1/13/2027 12:00:00 AM,261463.0,1093 S Pearl St,Denver,CO,80209,7,3.0,2901.0,3146139.0,1679122.0,3c8f003e-7c18-455f-9921-10e99613c6ab,Washington Park West,U-MS-2,3146138.99984647,1679122.00014813,-104.98065992294232,39.69684342350545
3390,ATHMAR LIQUORS,1777 W MISSISSIPPI AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,6/23/2025 4:47:00 PM,7/25/2026 12:00:00 AM,222070.0,1777 W Mississippi Ave,Denver,CO,0,7,4.0,1302.0,3138208.0,1679155.0,81f971aa-f67b-4b25-a7b6-6ae3f45ceb9e,Athmar Park,E-MX-3A,3138207.99996048,1679155.00008214,-105.00884343915061,39.69705510566444
3414,HAPPY DAY LIQUORS,1929 W MISSISSIPPI AVE ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,9/29/2025 9:55:21 AM,11/16/2026 12:00:00 AM,187958.0,1929 W Mississippi Ave,Denver,CO,0,7,4.0,1302.0,3137364.0,1679292.0,81fb0ecd-2341-4214-b439-77740ba34132,Athmar Park,E-MX-3A,3137364.00000806,1679292.00013621,-105.01184012921736,39.697443690326125
